Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,wac,bac,iac,aac,nac
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Race Alone or in Combination [1] - White,Race Alone or in Combination [1] - Black or African American,Race Alone or in Combination [1] - American Indian and Alaska Native,Race Alone or in Combination [1] - Asian,Race Alone or in Combination [1] - Native Hawaiian and Other Pacific Islander
est72012,"July 1, 2012",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,48070570,3142448,2202258,939968,330982
est72012,"July 1, 2012",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,202902078,41337196,4138511,17988287,1071079
est72012,"July 1, 2012",totsex,Both Sexes,tothisp,Total,0100000US,,United States,250972648,44479644,6340769,18928255,1402061
est72013,"July 1, 2013",female,Female,hisp,Hispanic,0100000US,,United States,24216358,1652736,1088649,484971,166173
est72013,"July 1, 2013",female,Female,nhisp,Not Hispanic,0100000US,,United States,103073092,21827666,2141695,9672535,548520
est72013,"July 1, 2013",female,Female,tothisp,Total,0100000US,,United States,127289450,23480402,3230344,10157506,714693
est72013,"July 1, 2013",male,Male,hisp,Hispanic,0100000US,,United States,24819496,1587588,1160336,481896,173493
est72013,"July 1, 2013",male,Male,nhisp,Not Hispanic,0100000US,,United States,100039976,19971247,2039026,8872996,546022
est72013,"July 1, 2013",male,Male,tothisp,Total,0100000US,,United States,124859472,21558835,3199362,9354892,719515
est72013,"July 1, 2013",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,49035854,3240324,2248985,966867,339666
est72013,"July 1, 2013",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,203113068,41798913,4180721,18545531,1094542
est72013,"July 1, 2013",totsex,Both Sexes,tothisp,Total,0100000US,,United States,252148922,45039237,6429706,19512398,1434208
est72014,"July 1, 2014",female,Female,hisp,Hispanic,0100000US,,United States,24722835,1702659,1113235,498622,170394
